Year,Month,Day,Max at 9h (°F),Max at 21h (°F),Min at 9h (°F),Min at 21h (°F),Max at 9h (°C),Max at 21h (°C),Min at 9h (°C),Min at 21h (°C)
1850,10,1,59,59,50,51,15,15,10,10.6
1850,10,2,54,56,46,49,12.2,13.3,7.8,9.4
1850,10,3,55,57,50,50,12.8,13.9,10,10
1850,10,4,53,56,48,46,11.7,13.3,8.9,7.8
1850,10,5,50,54,42,47,10,12.2,5.6,8.3
1850,10,6,51,56,41,45,10.6,13.3,5,7.2
1850,10,7,54,53,46,46,12.2,11.7,7.8,7.8
1850,10,8,55,56,49,49,12.8,13.3,9.4,9.4
1850,10,9,52,51,45,46,11.1,10.6,7.2,7.8
1850,10,10,51,54,47,47,10.6,12.2,8.3,8.3
1850,10,11,50,51,44,46,10,10.6,6.7,7.8
1850,10,12,50,51,46,46,10,10.6,7.8,7.8
1850,10,13,51,54,46,49,10.6,12.2,7.8,9.4
1850,10,14,53,54,49,44,11.7,12.2,9.4,6.7
1850,10,15,48,53,41,49,8.9,11.7,5,9.4
1850,10,16,53,56,49,51,11.7,13.3,9.4,10.6
1850,10,17,56,58,50,53,13.3,14.4,10,11.7
1850,10,18,58,59,51,54,14.4,15,10.6,12.2
1850,10,19,58,55,52,50,14.4,12.8,11.1,10
1850,10,20,53,54,48,48,11.7,12.2,8.9,8.9
1850,10,21,51,52,43,46,10.6,11.1,6.1,7.8
1850,10,22,49,54,41,42,9.4,12.2,5,5.6
1850,10,23,52,47,43,43,11.1,8.3,6.1,6.1
1850,10,24,49,49,43,44,9.4,9.4,6.1,6.7
1850,10,25,47,50,43,44,8.3,10,6.1,6.7
1850,10,26,47,50,38,40,8.3,10,3.3,4.4
1850,10,27,47,52,43,43,8.3,11.1,6.1,6.1
1850,10,28,47,49,42,43,8.3,9.4,5.6,6.1
1850,10,29,48,49,42,41,8.9,9.4,5.6,5
1850,10,30,55,56,42,50,12.8,13.3,5.6,10
1850,10,31,54,57,50,51,12.2,13.9,10,10.6
1850,11,1,59,60,55,50,15,15.6,12.8,10
1850,11,2,57,56,52,51,13.9,13.3,11.1,10.6
1850,11,3,54,58,46,50,12.2,14.4,7.8,10
1850,11,4,54,51,45,42,12.2,10.6,7.2,5.6
1850,11,5,54,55,46,48,12.2,12.8,7.8,8.9
1850,11,6,51,53,46,58,10.6,11.7,7.8,14.4
1850,11,7,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,8,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,9,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,10,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,11,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,12,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,13,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,14,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,15,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,16,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,17,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,18,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,19,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,20,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,21,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,22,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,23,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,24,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,25,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,26,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,27,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,28,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,29,NA,NA,NA,NA,NA,NA,NA,NA
1850,11,30,NA,NA,NA,NA,NA,NA,NA,NA
